Term,Observed,Direction,Fold_Enrichment,P_value,FDR
regulation of cellular component organization (GO:0051128),87,+,1.43,0.000507,0.029
regulation of extrinsic apoptotic signaling pathway (GO:2001236),12,+,3.11,0.000519,0.0296
actin nucleation (GO:0045010),5,+,7.29,0.00054,0.0306
purine-containing compound metabolic process (GO:0072521),25,+,2.08,0.000545,0.0308
establishment of protein localization to endoplasmic reticulum (GO:0072599),6,+,5.76,0.000561,0.0313
negative regulation of protein K48-linked deubiquitination (GO:1903094),2,+,42.26,0.000559,0.0315
regulation of type I interferon-mediated signaling pathway (GO:0060338),6,+,5.76,0.000561,0.0315
positive regulation of cytoplasmic translation (GO:2000767),4,+,9.94,0.000577,0.0321
regulation of viral genome replication (GO:0045069),8,+,4.23,0.000606,0.0336
negative regulation of nucleocytoplasmic transport (GO:0046823),5,+,7.04,0.000635,0.0351
positive regulation of apoptotic signaling pathway (GO:2001235),11,+,3.23,0.000645,0.0355
positive regulation of acute inflammatory response to antigenic stimulus (GO:0002866),3,+,15.85,0.000675,0.0369
negative regulation of p38MAPK cascade (GO:1903753),3,+,15.85,0.000675,0.037
purine ribonucleotide metabolic process (GO:0009150),17,+,2.44,0.000684,0.0372
positive regulation of viral genome replication (GO:0045070),5,+,6.82,0.000743,0.0403
regulation of response to cytokine stimulus (GO:0060759),13,+,2.83,0.000752,0.0407
protein catabolic process (GO:0030163),36,+,1.79,0.000761,0.0409
regulation of myoblast fusion (GO:1901739),7,+,4.62,0.000772,0.0414
macromolecule localization (GO:0033036),79,+,1.44,0.000809,0.0432
activation of immune response (GO:0002253),21,+,2.17,0.000856,0.0456
regulation of response to external stimulus (GO:0032101),45,+,1.66,0.000888,0.0471
definitive hemopoiesis (GO:0060216),4,+,8.9,0.000905,0.0478
maintenance of location (GO:0051235),8,+,3.98,0.000907,0.0478
regulation of cell development (GO:0060284),35,+,1.79,0.000934,0.0488
regulation of apoptotic signaling pathway (GO:2001233),20,+,2.21,0.000936,0.0488
respiratory electron transport chain (GO:0022904),9,+,3.59,0.000933,0.0489
positive regulation of defense response (GO:0031349),23,+,2.09,0.000949,0.0493
